Add To New Account Master,EOL Tag,Model Tag,Insights Tag,BIS Tag,Internal Enrichment Tag,External Enrichment Tag,Segmentation Tag,Segment Bucketing,ExternalColumnID,Source,SourceColumnName,Description,DataType,Display Name,Category,SubCategory,StatisticalType,DisplayDiscretizationStrategy,FundamentalType
N,,,N,N,N,N,N,N,BusinessEstablishedMonth,,,Month business was established,FLOAT,Established Month,FIRMOGRAPHICS,Other,,,ENUM
N,,,N,N,N,N,N,N,PatentID,Patents,,Government issued ID for granted patent,NVARCHAR(100),Granted Patent ID,FIRMOGRAPHICS,Other,RATIO,,ALPHA
N,,N,N,N,N,N,N,N,ActiveRetirementParticipants,FiftyFiveHundred_Main,,Number of participants in the company reitirement plan that are in active service with the company,INT,Active Retirement Plan Participants,FIRMOGRAPHICS,Other,RATIO,"{""geometric"": { ""minValue"":10,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
Y,N,Y,N,N,N,Y,Y,N,AdvertisingTechnologiesTopAttributes,BuiltWith_Pivoted_Source,,A popular Advertising Technology is detected in use,NVARCHAR(500),Has Top Ad Tech,WEBSITE_PROFILE,Other,NOMINAL,,ALPHA
N,N,Y,N,N,N,Y,N,N,Alexa_Rank_12Month,AlexaTimeseries,,12 Month historical website rank based on number of visitors and pages viewed by each visitor. Lower values indicate more popular websites,INT,"Website Popularity Rank, 12 Months Prior",ONLINE_PRESENCE,Other,RATIO,,NUMERIC
N,N,Y,N,N,N,Y,N,N,Alexa_Rank_3Month,AlexaTimeseries,,3 Month historical website rank based on number of visitors and pages viewed by each visitor. Lower values indicate more popular websites.,INT,"Website Popularity Rank, 3 Months Prior",ONLINE_PRESENCE,Other,RATIO,,NUMERIC
N,N,Y,N,N,N,Y,N,N,Alexa_Rank_6Month,AlexaTimeseries,,6 Month historical website rank based on number of visitors and pages viewed by each visitor. Lower values indicate more popular websites.,INT,"Website Popularity Rank, 6 Months Prior",ONLINE_PRESENCE,Other,RATIO,,NUMERIC
N,N,Y,N,N,N,Y,N,N,Alexa_Rank_9Month,AlexaTimeseries,,9 Month historical website rank based on number of visitors and pages viewed by each visitor. Lower values indicate more popular websites.,INT,"Website Populariity Rank, 9 Months Prior",ONLINE_PRESENCE,Other,RATIO,,NUMERIC
N,N,Y,N,N,N,Y,N,N,Alexa_Rank_PctChange_3Month,AlexaTimeseries,,Change in Website Popularity Rank over the prior 3 month period,FLOAT,"3 Month Change, Website Popularity Rank",ONLINE_PRESENCE,Other,RATIO,,PERCENTAGE
N,N,Y,N,N,N,Y,N,N,Alexa_Rank_PctChange_6Month,AlexaTimeseries,,Change in Website Popularity Rank over the prior 6 month period,FLOAT,"6 Month Change, Website Popularity Rank",ONLINE_PRESENCE,Other,RATIO,,PERCENTAGE
N,N,Y,N,N,N,Y,N,N,Alexa_Rank_PctChange_9Month,AlexaTimeseries,,Change in Website Popularity Rank over the prior 9 month period,FLOAT,"9 Month Change, Website Popularity Rank",ONLINE_PRESENCE,Other,RATIO,,PERCENTAGE
N,N,Y,N,N,N,Y,N,N,Alexa_ReachRank_12Month,AlexaTimeseries,,12 Month historical website rank based on number of unique visitors. Lower values indicate websites with more unique visitors.,INT,"Website Unique Visitors Rank, 12 Months Prior",ONLINE_PRESENCE,Other,RATIO,,NUMERIC
N,N,Y,N,N,N,Y,N,N,Alexa_ReachRank_3Month,AlexaTimeseries,,3 Month historical website rank based on number of unique visitors. Lower values indicate websites with more unique visitors.,INT,"Website Unique Visitors Rank, 3 Months Prior",ONLINE_PRESENCE,Other,RATIO,,NUMERIC
N,N,Y,N,N,N,Y,N,N,Alexa_ReachRank_6Month,AlexaTimeseries,,6 Month historical website rank based on number of unique visitors. Lower values indicate websites with more unique visitors.,INT,"Website Unique Visitors Rank, 6 Months Prior",ONLINE_PRESENCE,Other,RATIO,,NUMERIC
N,N,Y,N,N,N,Y,N,N,Alexa_ReachRank_9Month,AlexaTimeseries,,9 Month historical website rank based on number of unique visitors. Lower values indicate websites with more unique visitors.,INT,"Website Unique Visitors Rank, 9 Months Prior",ONLINE_PRESENCE,Other,RATIO,,NUMERIC
N,N,Y,N,N,N,Y,N,N,Alexa_ReachRank_PctChange_3Month,AlexaTimeseries,,Change in Website Unique Visitors Rank over the prior 3 month period,FLOAT,"3 Month Change, Website Unique Visitors Rank",ONLINE_PRESENCE,Other,RATIO,,PERCENTAGE
N,N,Y,N,N,N,Y,N,N,Alexa_ReachRank_PctChange_6Month,AlexaTimeseries,,Change in Website Unique Visitors Rank over the prior 6 month period,FLOAT,"6 Month Change, Website Unique Visitors Rank",ONLINE_PRESENCE,Other,RATIO,,PERCENTAGE
N,N,Y,N,N,N,Y,N,N,Alexa_ReachRank_PctChange_9Month,AlexaTimeseries,,Change in Website Unique Visitors Rank over the prior 9 month period,FLOAT,"9 Month Change, Website Unique Visitors Rank",ONLINE_PRESENCE,Other,RATIO,,PERCENTAGE
N,,Y,N,N,N,N,N,N,Alexa_Source_IsMatched,N/A,,Internal Source Match Attribute Alexa,BIT,Internal Source Match Attribute Alexa,FIRMOGRAPHICS,Other,NOMINAL,,BOOLEAN
N,N,Y,N,N,N,Y,N,N,Alexa_ViewsRank_12Month,AlexaTimeseries,,"12 Month historical rank of website popularity based on number of total visits. The 'most popular' site is given a rank of 1, the second 'most popular' a rank of 2, and so on down to the millions of websites that receive relatively few visitors.",INT,"Website Views Rank, 12 Months Prior",ONLINE_PRESENCE,Other,RATIO,,NUMERIC
N,N,Y,N,N,N,Y,N,N,Alexa_ViewsRank_3Month,AlexaTimeseries,,"3 Month historical rank of website popularity based on number of total visits. The 'most popular' site is given a rank of 1, the second 'most popular' a rank of 2, and so on down to the millions of websites that receive relatively few visitors.",INT,"Website Views Rank, 3 Months Prior",ONLINE_PRESENCE,Other,RATIO,,NUMERIC
N,,Y,N,N,N,N,N,N,Awards_Source_IsMatched,N/A,,Internal Source Match Attribute Awards,BIT,Internal Source Match Attribute Awards,FIRMOGRAPHICS,Other,NOMINAL,,BOOLEAN
N,,,N,N,N,N,N,N,AwardWebsite,Awards,,Website announcing award,NVARCHAR(100),Award Website,ONLINE_PRESENCE,Other,,,URI
N,N,Y,N,N,N,Y,N,N,Alexa_ViewsRank_6Month,AlexaTimeseries,,"6 Month historical rank of website popularity based on number of total visits. The 'most popular' site is given a rank of 1, the second 'most popular' a rank of 2, and so on down to the millions of websites that receive relatively few visitors.",INT,"Website Views Rank, 6 Months Prior",ONLINE_PRESENCE,Other,RATIO,,NUMERIC
N,N,Y,N,N,N,Y,N,N,Alexa_ViewsRank_9Month,AlexaTimeseries,,"9 Month historical rank of website popularity based on number of total visits. The 'most popular' site is given a rank of 1, the second 'most popular' a rank of 2, and so on down to the millions of websites that receive relatively few visitors.",INT,"Website Views Rank, 9 Months Prior",ONLINE_PRESENCE,Other,RATIO,,NUMERIC
N,N,Y,N,N,N,Y,N,N,Alexa_ViewsRank_PctChange_3Month,AlexaTimeseries,,Change in Website Views Rank over the prior 9 month period,FLOAT,"3 Month Change, Website Views Rank",ONLINE_PRESENCE,Other,RATIO,,PERCENTAGE
N,N,Y,N,N,N,Y,N,N,Alexa_ViewsRank_PctChange_6Month,AlexaTimeseries,,Change in Website Views Rank over the prior 6 month period,FLOAT,"6 Month Change, Website Views Rank",ONLINE_PRESENCE,Other,RATIO,,PERCENTAGE
N,N,Y,N,N,N,Y,N,N,Alexa_ViewsRank_PctChange_9Month,AlexaTimeseries,,Change in Website Views Rank over the prior 9 month period,FLOAT,"9 Month Change, Website Views Rank",ONLINE_PRESENCE,Other,RATIO,,PERCENTAGE
Y,Y,Y,N,N,N,Y,Y,N,AlexaAUPageViews,Alexa,AU_PageViews,Percentage of all Page Views identified from AU,FLOAT,Page Views from AUS,ONLINE_PRESENCE,Other,RATIO,,NUMERIC
Y,Y,Y,N,N,N,Y,Y,N,AlexaAURank,Alexa,AU_Rank,Popularity Rank based on visitors from AU,INT,AUS Web Popularity Rank,ONLINE_PRESENCE,Other,RATIO,,NUMERIC
Y,Y,Y,N,N,N,Y,Y,N,AlexaAUUsers,Alexa,AU_Users,Percentage of all website Users from AU,FLOAT,Users from AUS,ONLINE_PRESENCE,Other,RATIO,,NUMERIC
Y,Y,Y,N,N,N,Y,Y,N,AlexaCAPageViews,Alexa,CA_PageViews,Percentage of all Page Views identified from Canada,FLOAT,Page Views from Canada,ONLINE_PRESENCE,Other,RATIO,,NUMERIC
Y,Y,Y,N,N,N,Y,Y,N,AlexaCARank,Alexa,CA_Rank,Popularity Rank based on visitors from Canada,INT,Canada Web Popularity Rank,ONLINE_PRESENCE,Other,RATIO,,NUMERIC
Y,N,Y,N,N,N,N,Y,N,AlexaCategories,Alexa,Categories,Category of company business,NVARCHAR(400),Category,ONLINE_PRESENCE,Other,,,ALPHA
Y,Y,Y,N,N,N,Y,Y,N,AlexaCAUsers,Alexa,CA_Users,Percentage of all website Users from Canada,FLOAT,Users from Canada,ONLINE_PRESENCE,Other,RATIO,,NUMERIC
Y,N,Y,N,N,Y,N,N,N,AlexaDescription,Alexa,Description,Description of company,NVARCHAR(1000),Description,ONLINE_PRESENCE,Other,NOMINAL,,ALPHA
Y,N,Y,N,N,Y,N,N,N,AlexaDomains,Alexa,Domains,Other domains owned by the owner of this site,NVARCHAR(200),Other Domains,ONLINE_PRESENCE,Other,NOMINAL,,URI
Y,Y,Y,N,N,N,Y,Y,N,AlexaGBPageViews,Alexa,GB_PageViews,Percentage of all Page Views identified from UK,FLOAT,Page Views from UK,ONLINE_PRESENCE,Other,RATIO,,NUMERIC
Y,Y,Y,N,N,N,Y,Y,N,AlexaGBRank,Alexa,GB_Rank,Popularity Rank based on visitors from UK,INT,UK Web Popularity Rank,ONLINE_PRESENCE,Other,RATIO,,NUMERIC
Y,Y,Y,N,N,N,Y,Y,N,AlexaGBUsers,Alexa,GB_Users,Percentage of all website Users from UK,FLOAT,Users from UK,ONLINE_PRESENCE,Other,RATIO,,NUMERIC
Y,N,Y,N,N,N,Y,N,N,AlexaKeywords,Alexa,Keywords,Keywords on company website,NVARCHAR(100),Website Keywords,ONLINE_PRESENCE,Other,NOMINAL,,ALPHA
Y,N,Y,N,N,N,Y,Y,N,AlexaLanguage,Alexa,Language,Language used by webpage,NVARCHAR(10),Website Language,ONLINE_PRESENCE,Other,,,ALPHA
Y,N,Y,N,N,N,Y,Y,N,AlexaLinksIn,Alexa,LinksIn,Number of sites linking into this website,INT,Website Inlinks,ONLINE_PRESENCE,Other,RATIO,,NUMERIC
Y,N,Y,N,N,N,Y,Y,N,AlexaOnlineSince,Alexa,OnlineSince,Date since the website has been online,DATETIME,Online Since,ONLINE_PRESENCE,Other,RATIO,"{""geometric"": { ""minValue"":1,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",DATE
Y,N,N,N,N,N,Y,N,N,Bmbr30_Cloud_Total,MadisonLogic_30Day_Aggregated,ML_30Day_Cloud_Total,The intent activity during the month on Cloud,INT,Cloud Intent,INTENT,Other,RATIO,,NUMERIC
Y,N,Y,Y,Y,N,Y,Y,N,AlexaRank,Alexa,Rank,Website rank based on number of visitors and pages viewed by each visitor. Lower values indicate more popular websites.,INT,Web Popularity Rank,ONLINE_PRESENCE,Other,RATIO,"{""geometric"": { ""minValue"":100,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
Y,N,Y,Y,Y,N,Y,Y,N,AlexaReachPerMillion,Alexa,ReachPerMillion,Number of visitors to a site based on a random sample of 1 million users,FLOAT,Web Visitors Per Million,ONLINE_PRESENCE,Other,RATIO,"{""geometric"": { ""minValue"":10,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
Y,N,Y,Y,Y,N,Y,Y,N,AlexaReachRank,Alexa,ReachRank,Website rank based on number of unique visitors. Lower values indicate websites with more unique visitors.,INT,Unique Web Visitors Rank,ONLINE_PRESENCE,Other,RATIO,"{""geometric"": { ""minValue"":10,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
Y,N,Y,N,N,Y,N,N,N,AlexaRelatedLinks,Alexa,RelatedLinks,Related Links to the website,NVARCHAR(500),Related Links,ONLINE_PRESENCE,Other,NOMINAL,,URI
N,,,N,N,N,N,N,N,AlexaTimeseries_Source_IsMatched,N/A,,Internal Source Match Attribute AlexaTimeseries,BIT,Internal Source Match Attribute AlexaTimeseries,FIRMOGRAPHICS,Other,,,BOOLEAN
Y,N,Y,N,N,Y,N,N,N,AlexaTitle,Alexa,Title,Website Title,NVARCHAR(200),Website Title,ONLINE_PRESENCE,Other,NOMINAL,,ALPHA
Y,Y,Y,N,N,N,Y,Y,N,AlexaUSPageViews,Alexa,US_PageViews,Percentage of all Page Views identified from US,FLOAT,Page Views from USA,ONLINE_PRESENCE,Other,RATIO,,NUMERIC
Y,Y,Y,Y,Y,N,Y,Y,N,AlexaUSRank,Alexa,US_Rank,Popularity Rank based on visitors from US,INT,USA Web Popularity Rank,ONLINE_PRESENCE,Other,RATIO,,NUMERIC
Y,Y,Y,N,N,N,Y,Y,N,AlexaUSUsers,Alexa,US_Users,Percentage of all website Users from US,FLOAT,Users from USA,ONLINE_PRESENCE,Other,RATIO,,NUMERIC
Y,N,Y,Y,Y,N,Y,Y,N,AlexaViewsPerMillion,Alexa,ViewsPerMillion,Number of website views based on a random sample of 1 million users,FLOAT,Website Views Per Million,ONLINE_PRESENCE,Other,RATIO,"{""geometric"": { ""minValue"":10,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
Y,N,Y,Y,Y,N,Y,Y,N,AlexaViewsPerUser,Alexa,ViewsPerUser,Average number of page views per user for a specific site,FLOAT,Website Views Per User,ONLINE_PRESENCE,Other,RATIO,"{""geometric"": { ""minValue"":1,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
Y,N,Y,Y,Y,N,Y,Y,N,AlexaViewsRank,Alexa,ViewsRank,Rank of website popularity based on number of total visits. Lower values indicate more website visits.,INT,Website Views Rank,ONLINE_PRESENCE,Other,RATIO,"{""geometric"": { ""minValue"":10,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
Y,N,Y,N,N,N,Y,Y,N,AnalyticsTechnologiesTopAttributes,BuiltWith_Pivoted_Source,,A popular Analytics Technology is detected in use,NVARCHAR(500),Has Top Web Analytics,WEBSITE_PROFILE,Other,NOMINAL,,ALPHA
N,,N,N,N,N,N,N,N,AssetsStartOfYear,FiftyFiveHundred_smallFirms,,Value of Retirement Assets at the start of a year as reported in federal filings,BIGINT,Retirement Assets Start of Year,FIRMOGRAPHICS,Other,RATIO,"{""geometric"": { ""minValue"":100000,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1,""includeNegatives"":""True""}}",CURRENCY
Y,N,Y,N,N,N,Y,Y,N,AudioVideoMediaTechnologiesTopAttributes,BuiltWith_Pivoted_Source,,A popular Audio/Video Technology is detected in use,NVARCHAR(500),Has Top Audio/Video Tech,WEBSITE_PROFILE,Other,NOMINAL,,ALPHA
N,,,N,N,N,N,N,N,AwardCategory,Awards,,Category of award won by business,NVARCHAR(500),Award Category,FIRMOGRAPHICS,Other,,,ALPHA
N,,N,N,N,N,N,N,N,AwardYear,Awards,,Year business received award,BIGINT,Award Year,FIRMOGRAPHICS,Other,INTERVAL,"{""linear"": { ""minValue"":1950,""stepSize"":10,""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",YEAR
N,,N,N,N,N,N,N,N,BankruptcyFiled,Experian,,Indicator of Bankruptcy filed within the last 10 years,NVARCHAR(10),Bankruptcy Declared,GROWTH_TRENDS,Other,NOMINAL,,BOOLEAN
Y,N,N,N,N,N,Y,N,N,Bmbr30_AdTech_Total,MadisonLogic_30Day_Aggregated,ML_30Day_AdTech_Total,The intent activity during the month on Ad Tech,INT,Ad Tech Intent,INTENT,Other,RATIO,,NUMERIC
Y,N,N,N,N,N,Y,N,N,Bmbr30_AdTech_TotalPctCh,MadisonLogic_30Day_Aggregated,ML_30Day_AdTech_Total_PctChange,Changes during the last 30 days in intent activity on Ad Tech,FLOAT,Ad Tech Intent Change,INTENT,Other,RATIO,,PERCENTAGE
Y,N,N,N,N,N,Y,N,N,Bmbr30_AdTech_UniUsr,MadisonLogic_30Day_Aggregated,ML_30Day_AdTech_UniqueUsers,Number of users per month showing intent activity on Ad Tech,BIGINT,Ad Tech Intent Users,INTENT,Other,RATIO,,NUMERIC
Y,N,N,N,N,N,Y,N,N,Bmbr30_AdTech_UniUsrPctCh,MadisonLogic_30Day_Aggregated,ML_30Day_AdTech_UniqueUsers_PctChange,Changes during the last 30 days in users showing intent activity on Ad Tech,FLOAT,Ad Tech Intent Users Change,INTENT,Other,RATIO,,PERCENTAGE
Y,N,N,N,N,N,Y,N,N,Bmbr30_AnalyticsReporting_Total,MadisonLogic_30Day_Aggregated,ML_30Day_AnalyticsReporting_Total,The intent activity during the month on Analytics,INT,Analytics Intent,INTENT,Other,RATIO,,NUMERIC
Y,N,N,N,N,N,Y,N,N,Bmbr30_AnalyticsReporting_TotalPctCh,MadisonLogic_30Day_Aggregated,ML_30Day_AnalyticsReporting_Total_PctChange,Changes during the last 30 days in intent activity on Analytics,FLOAT,Analytics Intent Change,INTENT,Other,RATIO,,PERCENTAGE
Y,N,N,N,N,N,Y,N,N,Bmbr30_AnalyticsReporting_UniUsr,MadisonLogic_30Day_Aggregated,ML_30Day_AnalyticsReporting_UniqueUsers,Number of users per month showing intent activity on Analytics,BIGINT,Analytics Intent Users,INTENT,Other,RATIO,,NUMERIC
Y,N,N,N,N,N,Y,N,N,Bmbr30_AnalyticsReporting_UniUsrPctCh,MadisonLogic_30Day_Aggregated,ML_30Day_AnalyticsReporting_UniqueUsers_PctChange,Changes during the last 30 days in users showing intent activity on Analytics,FLOAT,Analytics Intent Users Change,INTENT,Other,RATIO,,PERCENTAGE
Y,N,N,N,N,N,Y,N,N,Bmbr30_APIsServices_Total,MadisonLogic_30Day_Aggregated,ML_30Day_APIsServices_Total,The intent activity during the month on API Services,INT,API Services Intent,INTENT,Other,RATIO,,NUMERIC
Y,N,N,N,N,N,Y,N,N,Bmbr30_APIsServices_TotalPctCh,MadisonLogic_30Day_Aggregated,ML_30Day_APIsServices_Total_PctChange,Changes during the last 30 days in intent activity on API Services,FLOAT,API Services Intent Change,INTENT,Other,RATIO,,PERCENTAGE
Y,N,N,N,N,N,Y,N,N,Bmbr30_APIsServices_UniUsr,MadisonLogic_30Day_Aggregated,ML_30Day_APIsServices_UniqueUsers,Number of users per month showing intent activity on API Services,BIGINT,API Services Intent Users,INTENT,Other,RATIO,,NUMERIC
Y,N,N,N,N,N,Y,N,N,Bmbr30_APIsServices_UniUsrPctCh,MadisonLogic_30Day_Aggregated,ML_30Day_APIsServices_UniqueUsers_PctChange,Changes during the last 30 days in users showing intent activity on API Services,FLOAT,API Services Intent Users Change,INTENT,Other,RATIO,,PERCENTAGE
Y,N,N,N,N,N,Y,N,N,Bmbr30_Benefits_Total,MadisonLogic_30Day_Aggregated,ML_30Day_Benefits_Total,The intent activity during the month on Benefits,INT,Benefits Intent,INTENT,Other,RATIO,,NUMERIC
Y,N,N,N,N,N,Y,N,N,Bmbr30_Benefits_TotalPctCh,MadisonLogic_30Day_Aggregated,ML_30Day_Benefits_Total_PctChange,Changes during the last 30 days in intent activity on Benefits,FLOAT,Benefits Intent Change,INTENT,Other,RATIO,,PERCENTAGE
Y,N,N,N,N,N,Y,N,N,Bmbr30_Benefits_UniUsr,MadisonLogic_30Day_Aggregated,ML_30Day_Benefits_UniqueUsers,Number of users per month showing intent activity on Benefits,BIGINT,Benefits Intent Users,INTENT,Other,RATIO,,NUMERIC
Y,N,N,N,N,N,Y,N,N,Bmbr30_Benefits_UniUsrPctCh,MadisonLogic_30Day_Aggregated,ML_30Day_Benefits_UniqueUsers_PctChange,Changes during the last 30 days in users showing intent activity on Benefits,FLOAT,Benefits Intent Users Change,INTENT,Other,RATIO,,PERCENTAGE
Y,N,N,N,N,N,Y,N,N,Bmbr30_Businesssolutions_Total,MadisonLogic_30Day_Aggregated,ML_30Day_Businesssolutions_Total,The intent activity during the month on Business Solutions,INT,Business Solutions Intent,INTENT,Other,RATIO,,NUMERIC
Y,N,N,N,N,N,Y,N,N,Bmbr30_Businesssolutions_TotalPctCh,MadisonLogic_30Day_Aggregated,ML_30Day_Businesssolutions_Total_PctChange,Changes during the last 30 days in intent activity on Business Solutions,FLOAT,Business Solutions Intent Change,INTENT,Other,RATIO,,PERCENTAGE
Y,N,N,N,N,N,Y,N,N,Bmbr30_Businesssolutions_UniUsr,MadisonLogic_30Day_Aggregated,ML_30Day_Businesssolutions_UniqueUsers,Number of users per month showing intent activity on Business Solutions,BIGINT,Business Solutions Intent Users,INTENT,Other,RATIO,,NUMERIC
Y,N,N,N,N,N,Y,N,N,Bmbr30_Businesssolutions_UniUsrPctCh,MadisonLogic_30Day_Aggregated,ML_30Day_Businesssolutions_UniqueUsers_PctChange,Changes during the last 30 days in users showing intent activity on Business Solutions,FLOAT,Business Solutions Intent Users Change,INTENT,Other,RATIO,,PERCENTAGE
Y,N,N,N,N,N,Y,N,N,Bmbr30_Cloud_TotalPctCh,MadisonLogic_30Day_Aggregated,ML_30Day_Cloud_Total_PctChange,Changes during the last 30 days in intent activity on Cloud,FLOAT,Cloud Intent Change,INTENT,Other,RATIO,,PERCENTAGE
Y,N,N,N,N,N,Y,N,N,Bmbr30_Cloud_UniUsr,MadisonLogic_30Day_Aggregated,ML_30Day_Cloud_UniqueUsers,Number of users per month showing intent activity on Cloud,BIGINT,Cloud Intent Users,INTENT,Other,RATIO,,NUMERIC
Y,N,N,N,N,N,Y,N,N,Bmbr30_Cloud_UniUsrPctCh,MadisonLogic_30Day_Aggregated,ML_30Day_Cloud_UniqueUsers_PctChange,Changes during the last 30 days in users showing intent activity on Cloud,FLOAT,Cloud Intent Users Change,INTENT,Other,RATIO,,PERCENTAGE
Y,N,N,N,N,N,Y,N,N,Bmbr30_ConsumerTechnology_Total,MadisonLogic_30Day_Aggregated,ML_30Day_ConsumerTechnology_Total,The intent activity during the month on Consumer Tech,INT,Consumer Tech Intent,INTENT,Other,RATIO,,NUMERIC
Y,N,N,N,N,N,Y,N,N,Bmbr30_ConsumerTechnology_TotalPctCh,MadisonLogic_30Day_Aggregated,ML_30Day_ConsumerTechnology_Total_PctChange,Changes during the last 30 days in intent activity on Consumer Tech,FLOAT,Consumer Tech Intent Change,INTENT,Other,RATIO,,PERCENTAGE
Y,N,N,N,N,N,Y,N,N,Bmbr30_ConsumerTechnology_UniUsr,MadisonLogic_30Day_Aggregated,ML_30Day_ConsumerTechnology_UniqueUsers,Number of users per month showing intent activity on Consumer Tech,BIGINT,Consumer Tech Intent Users,INTENT,Other,RATIO,,NUMERIC
Y,N,N,N,N,N,Y,N,N,Bmbr30_ConsumerTechnology_UniUsrPctCh,MadisonLogic_30Day_Aggregated,ML_30Day_ConsumerTechnology_UniqueUsers_PctChange,Changes during the last 30 days in users showing intent activity on Consumer Tech,FLOAT,Consumer Tech Intent Users Change,INTENT,Other,RATIO,,PERCENTAGE
Y,N,N,N,N,N,Y,N,N,Bmbr30_CreativitySoftware_Total,MadisonLogic_30Day_Aggregated,ML_30Day_CreativitySoftware_Total,The intent activity during the month on Creativity Software,INT,Creativity Software Intent,INTENT,Other,RATIO,,NUMERIC
Y,N,N,N,N,N,Y,N,N,Bmbr30_CreativitySoftware_TotalPctCh,MadisonLogic_30Day_Aggregated,ML_30Day_CreativitySoftware_Total_PctChange,Changes during the last 30 days in intent activity on Creativity Software,FLOAT,Creativity Software Intent Change,INTENT,Other,RATIO,,PERCENTAGE
Y,N,N,N,N,N,Y,N,N,Bmbr30_CreativitySoftware_UniUsr,MadisonLogic_30Day_Aggregated,ML_30Day_CreativitySoftware_UniqueUsers,Number of users per month showing intent activity on Creativity Software,BIGINT,Creativity Software Intent Users,INTENT,Other,RATIO,,NUMERIC
Y,N,N,N,N,N,Y,N,N,Bmbr30_CreativitySoftware_UniUsrPctCh,MadisonLogic_30Day_Aggregated,ML_30Day_CreativitySoftware_UniqueUsers_PctChange,Changes during the last 30 days in users showing intent activity on Creativity Software,FLOAT,Creativity Software Intent Users Change,INTENT,Other,RATIO,,PERCENTAGE
Y,N,N,N,N,N,Y,N,N,Bmbr30_CRM_Total,MadisonLogic_30Day_Aggregated,ML_30Day_CRM_Total,The intent activity during the month on CRM,INT,CRM Intent,INTENT,Other,RATIO,,NUMERIC
Y,N,N,N,N,N,Y,N,N,Bmbr30_CRM_TotalPctCh,MadisonLogic_30Day_Aggregated,ML_30Day_CRM_Total_PctChange,Changes during the last 30 days in intent activity on CRM,FLOAT,CRM Intent Change,INTENT,Other,RATIO,,PERCENTAGE
Y,N,N,N,N,N,Y,N,N,Bmbr30_CRM_UniUsr,MadisonLogic_30Day_Aggregated,ML_30Day_CRM_UniqueUsers,Number of users per month showing intent activity on CRM,BIGINT,CRM Intent Users,INTENT,Other,RATIO,,NUMERIC
Y,N,N,N,N,N,Y,N,N,Bmbr30_CRM_UniUsrPctCh,MadisonLogic_30Day_Aggregated,ML_30Day_CRM_UniqueUsers_PctChange,Changes during the last 30 days in users showing intent activity on CRM,FLOAT,CRM Intent Users Change,INTENT,Other,RATIO,,PERCENTAGE
Y,N,N,N,N,N,Y,N,N,Bmbr30_Database_Total,MadisonLogic_30Day_Aggregated,ML_30Day_Database_Total,The intent activity during the month on Database,INT,Database Intent,INTENT,Other,RATIO,,NUMERIC
Y,N,N,N,N,N,Y,N,N,Bmbr30_Database_TotalPctCh,MadisonLogic_30Day_Aggregated,ML_30Day_Database_Total_PctChange,Changes during the last 30 days in intent activity on Database,FLOAT,Database Intent Change,INTENT,Other,RATIO,,PERCENTAGE
Y,N,N,N,N,N,Y,N,N,Bmbr30_Database_UniUsr,MadisonLogic_30Day_Aggregated,ML_30Day_Database_UniqueUsers,Number of users per month showing intent activity on Database,BIGINT,Database Intent Users,INTENT,Other,RATIO,,NUMERIC
Y,N,N,N,N,N,Y,N,N,Bmbr30_Database_UniUsrPctCh,MadisonLogic_30Day_Aggregated,ML_30Day_Database_UniqueUsers_PctChange,Changes during the last 30 days in users showing intent activity on Database,FLOAT,Database Intent Users Change,INTENT,Other,RATIO,,PERCENTAGE
Y,N,N,N,N,N,Y,N,N,Bmbr30_DataCenterManagement_Total,MadisonLogic_30Day_Aggregated,ML_30Day_DataCenterManagement_Total,The intent activity during the month on Data Center Management,INT,Data Center Mgmt. Intent,INTENT,Other,RATIO,,NUMERIC
Y,N,N,N,N,N,Y,N,N,Bmbr30_DataCenterManagement_TotalPctCh,MadisonLogic_30Day_Aggregated,ML_30Day_DataCenterManagement_Total_PctChange,Changes during the last 30 days in intent activity on Data Center Management,FLOAT,Data Center Mgmt. Intent Change,INTENT,Other,RATIO,,PERCENTAGE
Y,N,N,N,N,N,Y,N,N,Bmbr30_DataCenterManagement_UniUsr,MadisonLogic_30Day_Aggregated,ML_30Day_DataCenterManagement_UniqueUsers,Number of users per month showing intent activity on Data Center Management,BIGINT,Data Center Mgmt. Intent Users,INTENT,Other,RATIO,,NUMERIC
