Add To New Account Master,EOL Tag,Model Tag,Insights Tag,BIS Tag,Internal Enrichment Tag,External Enrichment Tag,Segmentation Tag,Segment Bucketing,ExternalColumnID,Source,SourceColumnName,Description,DataType,Display Name,Category,SubCategory,StatisticalType,DisplayDiscretizationStrategy,FundamentalType
Y,N,Y,N,N,N,Y,Y,N,BusinessTechnologiesWebMaster,BuiltWith_Pivoted_Source,,Number of Web Master Technologies on company website,INT,Web Master Tech,WEBSITE_PROFILE,Other,RATIO,"{""geometric"": { ""minValue"":1,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
Y,N,Y,N,N,N,Y,Y,N,BusinessTechnologiesWebServer,BuiltWith_Pivoted_Source,,Number of Web Server Technologies on company website,INT,Web Server Tech,WEBSITE_PROFILE,Other,RATIO,"{""geometric"": { ""minValue"":1,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
Y,N,Y,N,N,N,Y,Y,N,DomainParkingTopAttributes,BuiltWith_Pivoted_Source,,A popular Domain Parking Technology is detected in use,NVARCHAR(500),Has Top Domain Parking Web Tech,WEBSITE_PROFILE,Other,NOMINAL,,BOOLEAN
Y,N,Y,N,N,N,Y,Y,N,BusinessTechnologiesWidgets,BuiltWith_Pivoted_Source,,Number of Widget Technologies on company website,INT,Widget Tech,WEBSITE_PROFILE,Other,RATIO,"{""geometric"": { ""minValue"":1,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
N,,,N,N,N,N,N,N,BusinessTwitter,,,Company twitter home page,NVARCHAR(500),Twitter Page,FIRMOGRAPHICS,Other,,,ALPHA
N,,,N,N,N,N,N,N,BusinessType,,,Type of business,NVARCHAR(60),Type of Business,FIRMOGRAPHICS,Other,NOMINAL,,ALPHA
N,,,N,N,N,N,N,N,BusinessUltimateParentName,Experian,,Name of the company's ultimate parent if present,NVARCHAR(120),Ultimate Parent Name,FIRMOGRAPHICS,Other,,,ALPHA
N,,,N,N,N,N,N,N,BusinessUrlNumPages,HPA,,Number of pages on company website,INT,Website Pages,ONLINE_PRESENCE,Other,RATIO,,NUMERIC
N,,,N,N,N,N,N,N,BusinessVCFunded,,,Indicates if the company has received venture or growth equity funding,NVARCHAR(10),VC/PE Funding,FIRMOGRAPHICS,Other,NOMINAL,,ALPHA
N,,,N,N,N,N,N,N,BusinessWebsite,,,Website of the company,NVARCHAR(1000),Website,FIRMOGRAPHICS,Other,,,URI
