EmpRangeOrigin,EmpRangeStandard
"0","a.[0]"
"1-10","b.[1-10]"
"11-50","c.[11-50]"
"51-100","d.[51-100]"
"101-200","e.[101-200]"
"201-500","f.[201-500]"
"501-1000","g.[501-1000]"
"1001-2500","h.[1001-2500]"
"2501-5000","i.[2501-5000]"
"5001-10,000","j.[5001-10,000]"
">10,000","k.[>10,000]"
