TechIndicator_MitelNetworks,cat
TechIndicator_NetApp,cat
TechIndicator_NetScoutSystems,cat
TechIndicator_Novell,cat
TechIndicator_NuanceCommunications,cat
TechIndicator_OpenSource,cat
TechIndicator_OpenText,cat
TechIndicator_Optum,cat
TechIndicator_Oracle,cat
TechIndicator_PearsonEducation,cat
TechIndicator_Philips,cat
TechIndicator_PitneyBowesSoftware,cat
TechIndicator_PlexSystems,cat
TechIndicator_Polycom,cat
TechIndicator_PTC,cat
TechIndicator_QlikTechnologies,cat
TechIndicator_Quantum,cat
TechIndicator_QuarkSoftware,cat
TechIndicator_RedGateSoftware,cat
TechIndicator_RedHat,cat
TechIndicator_RedPrairie,cat
TechIndicator_RedwoodSoftware,cat
TechIndicator_ResearchInMotionLimited,cat
TechIndicator_RicohAmericas,cat
TechIndicator_RiverbedTechnology,cat
TechIndicator_RocketSoftware,cat
TechIndicator_RockwellAutomation,cat
TechIndicator_RRDonnelley,cat
TechIndicator_SabaSoftware,cat
TechIndicator_Sage,cat
TechIndicator_Salesforcecom,cat
TechIndicator_SAP,cat
TechIndicator_SAS,cat
TechIndicator_SassafrasSoftware,cat
TechIndicator_SDL,cat
TechIndicator_SerenaSoftware,cat
TechIndicator_ShoreTel,cat
TechIndicator_Siebel,cat
TechIndicator_Siemens,cat
TechIndicator_SiliconGraphicsInternational,cat
TechIndicator_SilkRoad,cat
TechIndicator_SmartBearSoftware,cat
TechIndicator_Solarwinds,cat
TechIndicator_SpectraLogic,cat
TechIndicator_SumTotalSystems,cat
TechIndicator_SunGard,cat
TechIndicator_Symantec,cat
TechIndicator_TableauSoftware,cat
TechIndicator_TheApacheSoftwareFoundation,cat
TechIndicator_TheOmniGroup,cat
TechIndicator_Tibco,cat
TechIndicator_Toshiba,cat
TechIndicator_TrendMicroIncorporated,cat
TechIndicator_TrimbleNavigation,cat
TechIndicator_Trizetto,cat
TechIndicator_UNICOMSystems,cat
TechIndicator_UnifySiemensEnterpriseCommunications,cat
TechIndicator_VerintSystems,cat
TechIndicator_Verizon,cat
TechIndicator_VisionSolutions,cat
TechIndicator_VMware,cat
TechIndicator_WatchGuardTechnologies,cat
TechIndicator_Websense,cat
TechIndicator_WoltersKluwer,cat
TechIndicator_WoodmanLabs,cat
TechIndicator_Xerox,cat
TechIndicator_Yandex,cat
Title_IsAcademic,cat
Title_IsTechRelated,cat
Twitter_Source_IsMatched,cat
UCCFilingsPresent,cat
Uses_Public_Email_Provider,cat
VC_Source_IsMatched,cat
ActiveRetirementParticipants,num
AlexaAUPageViews,num
AlexaAURank,num
AlexaAUUsers,num
AlexaCAPageViews,num
AlexaCARank,num
AlexaCAUsers,num
AlexaGBPageViews,num
AlexaGBRank,num
AlexaGBUsers,num
AlexaLinksIn,num
AlexaOnlineSince,num
AlexaRank,num
AlexaReachPerMillion,num
AlexaReachRank,num
AlexaUSPageViews,num
AlexaUSRank,num
AlexaUSUsers,num
AlexaViewsPerMillion,num
AlexaViewsPerUser,num
AlexaViewsRank,num
AssetsStartOfYear,num
AwardYear,num
BusinessAnnualSalesAbs,num
BusinessEstablishedYear,num
BusinessEstimatedAnnualSales_k,num
BusinessEstimatedEmployees,num
BusinessFirmographicsParentEmployees,num
BusinessFirmographicsParentRevenue,num
BusinessTechnologiesAds,num
BusinessTechnologiesAnalytics,num
BusinessTechnologiesCdn,num
BusinessTechnologiesCms,num
BusinessTechnologiesDocinfo,num
BusinessTechnologiesEncoding,num
BusinessTechnologiesFeeds,num
BusinessTechnologiesFirstDetected,num
BusinessTechnologiesFramework,num
BusinessTechnologiesHosting,num
BusinessTechnologiesJavascript,num
BusinessTechnologiesMapping,num
BusinessTechnologiesMedia,num
BusinessTechnologiesMx,num
BusinessTechnologiesNs,num
BusinessTechnologiesParked,num
BusinessTechnologiesPayment,num
BusinessTechnologiesSeoHeaders,num
BusinessTechnologiesSeoMeta,num
BusinessTechnologiesSeoTitle,num
BusinessTechnologiesServer,num
BusinessTechnologiesShop,num
BusinessTechnologiesSsl,num
BusinessTechnologiesWebMaster,num
BusinessTechnologiesWebServer,num
BusinessTechnologiesWidgets,num
CloudTechnologies_AcademicEduMgmtSoftware,num
CloudTechnologies_ApplicationDevelopmentMgmt,num
CloudTechnologies_AssetPerformanceManagement,num
CloudTechnologies_ATS,num
CloudTechnologies_AutomatedProcessWorkflowSystems,num
CloudTechnologies_BPM,num
CloudTechnologies_BusinessIntelligence,num
CloudTechnologies_CaseManagement,num
CloudTechnologies_ChangeManagement,num
CloudTechnologies_CloudInfrastructureComputing,num
CloudTechnologies_CloudService_One,num
CloudTechnologies_CloudService_Two,num
CloudTechnologies_Collaboration,num
CloudTechnologies_Commerce,num
CloudTechnologies_CommTech_One,num
CloudTechnologies_CommTech_Two,num
CloudTechnologies_CommunicationsTechnology,num
CloudTechnologies_Construction,num
CloudTechnologies_ConsumerElectronics,num
CloudTechnologies_ContactCenterManagement,num
CloudTechnologies_CRM,num
CloudTechnologies_CRM_One,num
CloudTechnologies_CRM_Two,num
CloudTechnologies_CustomerOrderManagement,num
CloudTechnologies_DataArchivingBackUpRecovery,num
CloudTechnologies_DatabaseManagementSoftware,num
CloudTechnologies_DataCenterSolutions_One,num
CloudTechnologies_DataCenterSolutions_Two,num
CloudTechnologies_DataManagementStorageHardware,num
CloudTechnologies_DesignPublishing,num
CloudTechnologies_DocumentManagement,num
CloudTechnologies_DR,num
CloudTechnologies_EBS,num
CloudTechnologies_ECM,num
CloudTechnologies_EDA,num
CloudTechnologies_EDI,num
CloudTechnologies_Email,num
