AMColumnID	IsSegment	DecodeStrategy	EncodeBitUnit	BucketAlgorithm
Bmbr30_Marketing_UniUsrPctCh	false			
Bmbr30_MarketingDemandGenEm_Total	false			
Bmbr30_MarketingDemandGenEm_TotalPctCh	false			
Bmbr30_MarketingDemandGenEm_UniUsr	false			
Bmbr30_MarketingDemandGenEm_UniUsrPctCh	false			
Bmbr30_MarketingSearch_Total	false			
Bmbr30_MarketingSearch_TotalPctCh	false			
Bmbr30_MarketingSearch_UniUsr	false			
Bmbr30_MarketingSearch_UniUsrPctCh	false			
Bmbr30_Medical_Total	false			
Bmbr30_Medical_TotalPctCh	false			
Bmbr30_Medical_UniUsr	false			
Bmbr30_Medical_UniUsrPctCh	false			
Bmbr30_MessagingCommunicati_Total	false			
Bmbr30_MessagingCommunicati_TotalPctCh	false			
Bmbr30_MessagingCommunicati_UniUsr	false			
Bmbr30_MessagingCommunicati_UniUsrPctCh	false			
Bmbr30_MobileWireless_Total	false			
Bmbr30_MobileWireless_TotalPctCh	false			
Bmbr30_MobileWireless_UniUsr	false			
Bmbr30_MobileWireless_UniUsrPctCh	false			
Bmbr30_NetworkMonitoring_Total	false			
Bmbr30_NetworkMonitoring_TotalPctCh	false			
Bmbr30_NetworkMonitoring_UniUsr	false			
Bmbr30_NetworkMonitoring_UniUsrPctCh	false			
Bmbr30_OperatingSystemsProg_Total	false			
Bmbr30_OperatingSystemsProg_TotalPctCh	false			
Bmbr30_OperatingSystemsProg_UniUsr	false			
Bmbr30_OperatingSystemsProg_UniUsrPctCh	false			
Bmbr30_ProductDevelopmentQA_Total	false			
Bmbr30_ProductDevelopmentQA_TotalPctCh	false			
Bmbr30_ProductDevelopmentQA_UniUsr	false			
Bmbr30_ProductDevelopmentQA_UniUsrPctCh	false			
Bmbr30_RecruitmentHiringOnb_Total	false			
Bmbr30_RecruitmentHiringOnb_TotalPctCh	false			
Bmbr30_RecruitmentHiringOnb_UniUsr	false			
Bmbr30_RecruitmentHiringOnb_UniUsrPctCh	false			
Bmbr30_Sales_Total	false			
Bmbr30_Sales_TotalPctCh	false			
Bmbr30_Sales_UniUsr	false			
Bmbr30_Sales_UniUsrPctCh	false			
Bmbr30_Servers_Total	false			
Bmbr30_Servers_TotalPctCh	false			
Bmbr30_Servers_UniUsr	false			
Bmbr30_Servers_UniUsrPctCh	false			
Bmbr30_SoftwareEngineering_Total	false			
Bmbr30_SoftwareEngineering_TotalPctCh	false			
Bmbr30_SoftwareEngineering_UniUsr	false			
Bmbr30_SoftwareEngineering_UniUsrPctCh	false			
Bmbr30_StorageVirtualizatio_Total	false			
Bmbr30_StorageVirtualizatio_TotalPctCh	false			
Bmbr30_StorageVirtualizatio_UniUsr	false			
Bmbr30_StorageVirtualizatio_UniUsrPctCh	false			
Bmbr30_TradingInvesting_Total	false			
Bmbr30_TradingInvesting_TotalPctCh	false			
Bmbr30_TradingInvesting_UniUsr	false			
Bmbr30_TradingInvesting_UniUsrPctCh	false			
Bmbr30_TrainingDevelopment_Total	false			
Bmbr30_TrainingDevelopment_TotalPctCh	false			
Bmbr30_TrainingDevelopment_UniUsr	false			
Bmbr30_TrainingDevelopment_UniUsrPctCh	false			
Bmbr30_TransactionsPayments_Total	false			
Bmbr30_TransactionsPayments_TotalPctCh	false			
Bmbr30_TransactionsPayments_UniUsr	false			
Bmbr30_TransactionsPayments_UniUsrPctCh	false			
Bmbr30_Web_Total	false			
Bmbr30_Web_TotalPctCh	false			
Bmbr30_Web_UniUsr	false			
Bmbr30_Web_UniUsrPctCh	false			
